ASV,Taxonomy
g__Ectothiorhodospira,g__Ectothiorhodospira;p__Pseudomonadota
g__Egibacter,g__Egibacter;p__Actinomycetota
g__Egicoccus,g__Egicoccus;p__Actinomycetota
g__Emcibacter,g__Emcibacter;p__Pseudomonadota
g__Enhygromyxa,g__Enhygromyxa;p__Myxococcota
g__Epibacterium,g__Epibacterium;p__Pseudomonadota
g__Erythrobacter,g__Erythrobacter;p__Pseudomonadota
g__Escherichia,g__Escherichia;p__Pseudomonadota
g__Eudoraea,g__Eudoraea;p__Bacteroidota
g__Euzebya,g__Euzebya;p__Actinomycetota
g__Falsiruegeria,g__Falsiruegeria;p__Pseudomonadota
g__Ferrovum,g__Ferrovum;p__Pseudomonadota
g__Ferruginibacter,g__Ferruginibacter;p__Bacteroidota
g__Fibrobacter,g__Fibrobacter;p__Fibrobacterota
g__Filomicrobium,g__Filomicrobium;p__Pseudomonadota
g__Flavilitoribacter,g__Flavilitoribacter;p__Bacteroidota
g__Flaviramulus,g__Flaviramulus;p__Bacteroidota
g__Flavivirga,g__Flavivirga;p__Bacteroidota
g__Flavobacterium,g__Flavobacterium;p__Bacteroidota
g__Flexithrix,g__Flexithrix;p__Bacteroidota
g__Fluviibacterium,g__Fluviibacterium;
g__Fluviicola,g__Fluviicola;p__Bacteroidota
g__Fodinibius,g__Fodinibius;p__Balneolota
g__Formosa,g__Formosa;p__Bacteroidota
g__Frankia,g__Frankia;p__Actinomycetota
g__Frigidibacter,g__Frigidibacter;p__Pseudomonadota
g__Fuerstiella,g__Fuerstiella;p__Planctomycetota
g__Fulvivirga,g__Fulvivirga;p__Bacteroidota
g__Gaetbulibacter,g__Gaetbulibacter;p__Bacteroidota
g__Gaiella,g__Gaiella;p__Actinomycetota
g__Galbibacter,g__Galbibacter;p__Bacteroidota
g__Gallionella,g__Gallionella;p__Pseudomonadota
g__Geitlerinema,g__Geitlerinema;p__Cyanobacteriota
g__Gelidibacter,g__Gelidibacter;p__Bacteroidota
g__Geminicoccus,g__Geminicoccus;p__Pseudomonadota
g__Gemmatimonas,g__Gemmatimonas;p__Gemmatimonadota
g__Gemmatirosa,g__Gemmatirosa;p__Gemmatimonadota
g__Gemmobacter,g__Gemmobacter;p__Pseudomonadota
g__Geobacter,g__Geobacter;p__Thermodesulfobacteriota
g__Geodermatophilus,g__Geodermatophilus;p__Actinomycetota
g__Geomonas,g__Geomonas;p__Thermodesulfobacteriota
g__Geothermobacter,g__Geothermobacter;p__Thermodesulfobacteriota
g__Geothrix,g__Geothrix;p__Acidobacteriota
g__Gillisia,g__Gillisia;p__Bacteroidota
g__Gilvibacter,g__Gilvibacter;p__Bacteroidota
g__Gimesia,g__Gimesia;p__Planctomycetota
g__Gordonia,g__Gordonia;p__Actinomycetota
g__Gracilimonas,g__Gracilimonas;p__Balneolota
g__Gymnodinialimonas,g__Gymnodinialimonas;p__Pseudomonadota
g__Hahella,g__Hahella;p__Pseudomonadota
g__Halalkalibaculum,g__Halalkalibaculum;p__Balneolota
g__Haliangium,g__Haliangium;p__Myxococcota
g__Haliea,g__Haliea;p__Pseudomonadota
g__Halioglobus,g__Halioglobus;p__Pseudomonadota
g__Haliscomenobacter,g__Haliscomenobacter;p__Bacteroidota
g__Halobacteriovorax,g__Halobacteriovorax;p__Bdellovibrionota
g__Halomarinibacterium,g__Halomarinibacterium;p__Bacteroidota
g__Halomonas,g__Halomonas;p__Pseudomonadota
g__Halorhodospira,g__Halorhodospira;p__Pseudomonadota
g__Hanstruepera,g__Hanstruepera;p__Bacteroidota
g__Herpetosiphon,g__Herpetosiphon;p__Chloroflexota
g__Hoeflea,g__Hoeflea;p__Pseudomonadota
g__Hydrogenophaga,g__Hydrogenophaga;p__Pseudomonadota
g__Hymenobacter,g__Hymenobacter;p__Bacteroidota
g__Hyphomicrobium,g__Hyphomicrobium;p__Pseudomonadota
g__Hyphomonas,g__Hyphomonas;p__Pseudomonadota
g__Iamia,g__Iamia;p__Actinomycetota
g__Idiomarina,g__Idiomarina;p__Pseudomonadota
g__Ignavibacterium,g__Ignavibacterium;p__Ignavibacteriota
g__Ilumatobacter,g__Ilumatobacter;p__Actinomycetota
g__Inmirania,g__Inmirania;p__Pseudomonadota
g__Inquilinus,g__Inquilinus;p__Pseudomonadota
g__Isoalcanivorax,g__Isoalcanivorax;p__Pseudomonadota
g__Jannaschia,g__Jannaschia;p__Pseudomonadota
g__Jatrophihabitans,g__Jatrophihabitans;p__Actinomycetota
g__Jhaorihella,g__Jhaorihella;p__Pseudomonadota
g__Jiangella,g__Jiangella;p__Actinomycetota
g__Kallotenue,g__Kallotenue;p__Chloroflexota
g__Kamptonema,g__Kamptonema;p__Cyanobacteriota
g__Kangiella,g__Kangiella;p__Pseudomonadota
g__Ketobacter,g__Ketobacter;p__Pseudomonadota
g__Kiritimatiella,g__Kiritimatiella;p__Kiritimatiellota
g__Kordia,g__Kordia;p__Bacteroidota
g__Kordiimonas,g__Kordiimonas;p__Pseudomonadota
g__Kouleothrix,g__Kouleothrix;p__Chloroflexota
g__Kribbella,g__Kribbella;p__Actinomycetota
g__Ktedonobacter,g__Ktedonobacter;p__Chloroflexota
g__Labilibaculum,g__Labilibaculum;p__Bacteroidota
g__Labilithrix,g__Labilithrix;p__Myxococcota
g__Lacinutrix,g__Lacinutrix;p__Bacteroidota
g__Leeuwenhoekiella,g__Leeuwenhoekiella;p__Bacteroidota
g__Legionella,g__Legionella;p__Pseudomonadota
g__Leisingera,g__Leisingera;p__Pseudomonadota
g__Lentibacter,g__Lentibacter;p__Pseudomonadota
g__Lentimicrobium,g__Lentimicrobium;p__Bacteroidota
g__Leptolinea,g__Leptolinea;p__Chloroflexota
g__Leptolyngbya,g__Leptolyngbya;p__Cyanobacteriota
g__Leptospira,g__Leptospira;p__Spirochaetota
g__Levilinea,g__Levilinea;p__Chloroflexota
g__Lewinella,g__Lewinella;p__Bacteroidota
g__Lignipirellula,g__Lignipirellula;p__Planctomycetota
g__Limibaculum,g__Limibaculum;p__Pseudomonadota
g__Limimaricola,g__Limimaricola;p__Pseudomonadota
g__Limnohabitans,g__Limnohabitans;p__Pseudomonadota
g__Litoreibacter,g__Litoreibacter;p__Pseudomonadota
g__Litorilinea,g__Litorilinea;p__Chloroflexota
g__Litorimonas,g__Litorimonas;p__Pseudomonadota
g__Litorivita,g__Litorivita;p__Pseudomonadota
g__Loktanella,g__Loktanella;p__Pseudomonadota
g__Longilinea,g__Longilinea;p__Chloroflexota
g__Longimicrobium,g__Longimicrobium;p__Gemmatimonadota
g__Lujinxingia,g__Lujinxingia;p__unclassified_d__Bacteria
g__Luteimonas,g__Luteimonas;p__Pseudomonadota
g__Luteirhabdus,g__Luteirhabdus;p__Bacteroidota
