Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Myxococcus,0.000325949,0.000297078,0.000114596,9.86E-05,0.000305844,0.000247629
g__Nannocystis,0.000673024,0.000569258,0.000258741,0.000240986,0.000717426,0.000576861
g__Natronospira,0.000155448,0.000123503,6.36E-05,8.51E-05,0.000117189,8.79E-05
g__Nioella,0.001319107,0.000979721,0.000420426,0.000176618,0.00086917,0.00047979
g__Nitratireductor,0.003774761,0.002546801,0.001718717,0.001801588,0.002541405,0.001682733
g__Nitriliruptor,0.000708946,0.000550328,0.00019703,0.000244489,0.000449345,0.000263401
g__Nitrococcus,0.000199068,0.000147492,0.00012956,0.000149068,0.000141715,0.000125795
g__Nitrolancea,0.000211213,0.00012785,8.99E-05,9.75E-05,9.07E-05,8.24E-05
g__Nitrosococcus,0.000263642,0.000218234,0.000285032,0.00032197,0.000255249,0.000247324
g__Nitrosomonas,0.007679184,0.005567022,0.001779443,0.001182678,0.007966684,0.004958937
g__Nitrososphaera,0.000441541,0.000323952,0.000200894,0.000205876,0.000252853,0.000187169
g__Nitrospina,0.000121108,0.000105876,8.84E-05,0.000109089,0.000113412,0.000111623
g__Nitrospira,0.001502352,0.001200564,0.001495964,0.001332216,0.0012531,0.001062708
g__Nocardia,0.000275445,0.000209974,7.27E-05,8.16E-05,0.00020506,0.000120081
g__Nocardioides,0.001169946,0.000866138,0.00036614,0.00040983,0.000754215,0.000450608
g__Nonlabens,0.000192354,0.000243527,7.96E-05,7.84E-05,0.000255574,0.00013532
g__Nonomuraea,0.000312564,0.000220368,9.63E-05,0.000118827,0.000195639,0.000124805
g__Nostoc,0.000400958,0.000328853,0.000191234,0.000188364,0.000275105,0.000186864
g__Notoacmeibacter,0.000106654,7.23E-05,0.000102549,0.000111011,8.08E-05,8.32E-05
g__Novipirellula,0.000250855,0.000205034,9.59E-05,0.000101571,0.000145451,9.35E-05
g__Novosphingobium,0.000144244,0.0001171,0.000119976,0.00013587,0.000126244,0.000117833
g__Oceanibaculum,9.93E-05,0.000103821,0.000121718,0.000269988,8.15E-05,6.48E-05
